2024-05-28 10:24:24.195182     | 0.000045   | 100        | 2          | 10         | Windows
2024-05-28 10:24:48.553889     | 0.000625   | 100        | 2          | 10         | Windows
2024-05-28 10:24:59.113658     | 0.006000   | 100        | 2          | 10         | Windows
2024-05-28 10:25:48.233656     | 0.006766   | 100        | 2          | 10         | Windows
2024-05-28 10:26:05.481374     | 0.006945   | 100        | 2          | 10         | Windows
2024-05-28 10:26:17.939444     | 0.011792   | 100        | 2          | 10         | Windows
2024-05-28 10:26:34.903772     | 0.006944   | 100        | 2          | 10         | Windows
2024-05-28 11:02:09.816685     | 0.007015   | 100000     | 10         | 10         | Windows
2024-06-09 12:39:29.909028     | 0.038096   | 100000     | 10         | 10         | Windows
2024-06-09 12:44:54.197479     | 0.031382   | 100000     | 10         | 10         | Windows
2024-06-09 12:45:56.577836     | 0.111432   | 100000     | 10         | 10         | Windows
2024-06-09 12:46:25.112537     | 0.031739   | 100000     | 10         | 10         | Windows
